connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_continent_code,connection_spec_client_geolocation_city,connection_spec_client_geolocation_metro_code,connection_spec_client_ip,web100_log_entry_connection_spec_remote_ip,connection_spec_client_geolocation_longitude,connection_spec_client_geolocation_region,connection_spec_client_geolocation_country_code
,,,,,173.176.248.30,,,
,,,,,173.176.248.30,,,
,,,,,184.148.32.207,,,
,,,,,99.239.66.199,,,
45.50299835205078,NA,Montr�al,0,132.208.105.32,132.208.105.32,-73.56790161132812,QC,CA
45.455101013183594,NA,Lasalle,0,70.52.115.90,70.52.115.90,-73.6083984375,QC,CA
,,,,,216.221.64.195,,,
,,,,,184.161.97.11,,,
,,,,,174.118.144.27,,,
,,,,,24.89.245.100,,,
,,,,,99.244.128.194,,,
,,,,,205.211.52.171,,,
,,,,,99.192.67.161,,,
,,,,,47.63.72.63,,,
,,,,,173.206.68.201,,,
,,,,,24.215.90.98,,,
,,,,,67.193.39.189,,,
,,,,,216.252.81.96,,,
,,,,,24.215.90.98,,,
,,,,,134.117.251.29,,,
,,,,,24.215.90.98,,,
,,,,,74.79.125.7,,,
,,,,,216.252.81.96,,,
,,,,,66.130.141.35,,,
,,,,,134.117.251.29,,,
,,,,,70.27.189.96,,,
,,,,,70.81.126.87,,,
,,,,,142.217.90.207,,,
,,,,,142.217.90.207,,,
,,,,,142.217.90.207,,,
,,,,,70.24.255.4,,,
,,,,,99.233.205.82,,,
,,,,,65.92.156.186,,,
,,,,,108.162.158.195,,,
,,,,,96.20.222.54,,,
,,,,,208.96.96.158,,,
,,,,,99.228.96.74,,,
,,,,,71.233.73.91,,,
,,,,,98.124.30.138,,,
,,,,,71.233.73.91,,,
,,,,,64.56.229.206,,,
,,,,,69.17.247.69,,,
,,,,,24.48.100.102,,,
,,,,,184.145.249.252,,,
,,,,,142.134.78.43,,,
,,,,,142.134.78.43,,,
43.599998474121094,NA,Mississauga,0,209.141.139.41,209.141.139.41,-79.6500015258789,ON,CA
,,,,,66.38.237.2,,,
,,,,,24.114.49.61,,,
,,,,,24.226.187.158,,,
,,,,,24.50.103.63,,,
,,,,,24.50.97.56,,,
,,,,,99.248.155.138,,,
,,,,,50.122.211.170,,,
,,,,,70.30.185.49,,,
,,,,,108.161.126.83,,,
,,,,,70.30.185.49,,,
,,,,,24.122.210.134,,,
,,,,,142.134.31.61,,,
,,,,,70.55.105.178,,,
,,,,,47.64.246.46,,,
,,,,,70.55.105.178,,,
43.644100189208984,NA,Toronto,0,63.142.161.15,63.142.161.15,-79.38009643554688,ON,CA
,,,,,197.148.54.168,,,
,,,,,192.95.240.57,,,
,,,,,173.178.187.133,,,
,,,,,174.93.249.129,,,
,,,,,69.165.201.50,,,
,,,,,99.248.157.76,,,
,,,,,142.166.70.50,,,
,,,,,108.59.67.146,,,
,,,,,174.118.144.27,,,
,,,,,99.233.158.170,,,
,,,,,174.93.249.129,,,
,,,,,184.161.97.11,,,
,,,,,99.233.59.208,,,
,,,,,75.158.252.132,,,
,,,,,24.50.97.56,,,
,,,,,184.75.215.5,,,
,,,,,142.217.102.142,,,
,,,,,76.71.227.58,,,
,,,,,24.230.215.71,,,
,,,,,184.75.213.82,,,
,,,,,64.229.204.140,,,
,,,,,184.75.213.82,,,
,,,,,174.118.24.45,,,
,,,,,72.38.188.106,,,
,,,,,24.54.51.163,,,
43.661800384521484,NA,Toronto,0,69.158.26.196,69.158.26.196,-79.38469696044922,ON,CA
,,,,,66.66.175.24,,,
,,,,,173.176.200.169,,,
,,,,,76.68.254.197,,,
,,,,,96.20.222.54,,,
,,,,,173.178.187.133,,,
,,,,,96.22.247.73,,,
,,,,,65.175.221.187,,,
,,,,,142.217.94.217,,,
,,,,,96.22.219.206,,,
,,,,,108.180.197.86,,,
43.644100189208984,NA,Toronto,0,184.75.208.130,184.75.208.130,-79.38009643554688,ON,CA
,,,,,64.9.225.99,,,
,,,,,69.60.72.52,,,
,,,,,47.55.189.154,,,
,,,,,99.236.129.187,,,
,,,,,173.206.14.86,,,
,,,,,173.177.113.161,,,
,,,,,69.156.203.226,,,
,,,,,99.248.157.76,,,
,,,,,174.116.249.215,,,
,,,,,67.193.230.62,,,
,,,,,66.130.234.92,,,
,,,,,135.23.86.243,,,
,,,,,184.75.212.18,,,
60.0,EU,,0,185.64.47.247,185.64.47.247,100.0,,RU
,,,,,24.230.209.236,,,
,,,,,70.29.119.142,,,
,,,,,99.238.179.47,,,
45.69110107421875,NA,Varennes,0,69.156.43.239,69.156.43.239,-73.43119812011719,QC,CA
,,,,,174.113.237.91,,,
,,,,,70.26.113.98,,,
,,,,,184.151.127.130,,,
,,,,,198.72.24.66,,,
43.01430130004883,NA,Rye,506,73.186.75.48,73.186.75.48,-70.76339721679688,NH,US
,,,,,99.244.64.73,,,
,,,,,24.138.121.235,,,
46.782798767089844,NA,Qu�bec,0,64.229.141.108,64.229.141.108,-71.31490325927734,QC,CA
,,,,,50.101.239.189,,,
,,,,,192.222.171.172,,,
45.402400970458984,NA,Delson,0,67.71.109.212,67.71.109.212,-73.53759765625,QC,CA
,,,,,47.16.253.13,,,
,,,,,70.26.116.236,,,
,,,,,24.201.27.58,,,
,,,,,207.179.135.210,,,
,,,,,50.101.239.189,,,
42.83330154418945,EU,,0,5.168.63.230,5.168.63.230,12.83329963684082,,IT
,,,,,173.177.130.77,,,
,,,,,99.239.208.232,,,
,,,,,99.227.214.23,,,
60.0,NA,,0,24.114.27.173,24.114.27.173,-95.0,,CA
,,,,,99.235.143.140,,,
,,,,,50.101.239.189,,,
,,,,,50.101.239.189,,,
,,,,,173.178.187.133,,,
,,,,,99.224.117.51,,,
,,,,,99.224.117.51,,,
,,,,,76.10.172.131,,,
,,,,,99.233.64.228,,,
,,,,,50.75.35.74,,,
,,,,,216.252.72.69,,,
,,,,,173.177.42.208,,,
,,,,,24.36.67.25,,,
,,,,,209.197.171.167,,,
,,,,,66.131.111.80,,,
,,,,,173.178.187.133,,,
,,,,,72.53.75.197,,,
,,,,,99.234.211.9,,,
,,,,,69.9.106.17,,,
,,,,,207.112.122.251,,,
,,,,,208.101.111.30,,,
,,,,,107.19.188.47,,,
,,,,,24.156.205.137,,,
,,,,,70.82.241.128,,,
,,,,,173.179.47.197,,,
,,,,,24.36.195.247,,,
,,,,,99.229.73.226,,,
,,,,,99.229.73.226,,,
,,,,,74.65.35.165,,,
,,,,,64.9.225.99,,,
,,,,,96.127.211.77,,,
,,,,,174.91.247.194,,,
,,,,,99.226.104.241,,,
,,,,,76.67.179.166,,,
,,,,,179.180.153.16,,,
,,,,,72.53.66.231,,,
,,,,,76.64.108.82,,,
,,,,,76.69.12.32,,,
,,,,,207.179.135.210,,,
,,,,,76.64.108.82,,,
,,,,,173.35.52.152,,,
,,,,,173.178.239.33,,,
,,,,,23.243.14.175,,,
,,,,,23.243.14.175,,,
,,,,,76.69.181.104,,,
,,,,,99.199.198.139,,,
24.0,AS,,0,103.237.36.245,103.237.36.245,90.0,,BD
,,,,,142.167.252.123,,,
24.0,AS,,0,103.237.36.245,103.237.36.245,90.0,,BD
,,,,,174.93.55.154,,,
24.0,AS,,0,103.237.36.245,103.237.36.245,90.0,,BD
,,,,,5.251.125.173,,,
,,,,,69.70.143.42,,,
,,,,,173.34.10.9,,,
,,,,,207.253.20.163,,,
,,,,,24.230.209.236,,,
,,,,,76.69.87.240,,,
,,,,,173.238.98.0,,,
24.0,AS,,0,103.237.36.245,103.237.36.245,90.0,,BD
,,,,,70.26.113.98,,,
24.0,AS,,0,103.237.36.245,103.237.36.245,90.0,,BD
,,,,,5.178.51.65,,,
,,,,,71.7.144.104,,,
,,,,,74.59.241.155,,,
,,,,,108.162.129.107,,,
,,,,,184.160.138.107,,,
,,,,,47.55.183.192,,,
,,,,,96.21.198.18,,,
,,,,,74.59.241.155,,,
,,,,,24.122.148.158,,,
,,,,,174.112.225.58,,,
,,,,,108.162.129.107,,,
,,,,,99.224.137.34,,,
,,,,,47.54.25.109,,,
,,,,,74.58.178.153,,,
,,,,,108.162.129.107,,,
,,,,,151.231.103.8,,,
,,,,,74.57.85.203,,,
,,,,,99.244.247.98,,,
,,,,,99.239.10.240,,,
,,,,,174.89.50.71,,,
,,,,,76.68.99.85,,,
,,,,,67.193.199.71,,,
,,,,,74.57.85.203,,,
,,,,,99.247.102.58,,,
,,,,,76.68.99.85,,,
,,,,,70.83.54.244,,,
,,,,,67.70.41.4,,,
,,,,,71.232.208.137,,,
,,,,,96.23.160.175,,,
,,,,,192.222.171.172,,,
,,,,,142.217.208.155,,,
,,,,,24.200.85.45,,,
,,,,,96.23.160.175,,,
,,,,,205.211.50.163,,,
,,,,,174.118.27.65,,,
,,,,,207.112.122.251,,,
,,,,,24.100.252.161,,,
,,,,,198.84.227.82,,,
43.654300689697266,NA,Toronto,0,141.117.116.250,141.117.116.250,-79.37960052490234,ON,CA
,,,,,174.114.130.239,,,
,,,,,76.64.110.157,,,
43.654300689697266,NA,Toronto,0,141.117.116.250,141.117.116.250,-79.37960052490234,ON,CA
,,,,,198.255.170.85,,,
,,,,,64.25.221.232,,,
,,,,,69.70.1.98,,,
,,,,,99.224.117.51,,,
,,,,,108.175.94.248,,,
,,,,,105.225.199.66,,,
,,,,,24.246.43.202,,,
,,,,,204.237.0.4,,,
,,,,,24.114.49.13,,,
45.50299835205078,NA,Montr�al,0,132.208.12.66,132.208.12.66,-73.56790161132812,QC,CA
,,,,,174.91.110.205,,,
,,,,,24.146.13.80,,,
,,,,,70.36.13.160,,,
,,,,,69.172.75.112,,,
,,,,,132.204.243.218,,,
,,,,,174.88.22.241,,,
,,,,,74.57.2.153,,,
,,,,,74.59.241.155,,,
,,,,,142.68.132.115,,,
,,,,,204.237.19.106,,,
,,,,,142.177.244.158,,,
,,,,,69.172.82.51,,,
,,,,,24.91.175.44,,,
,,,,,184.147.122.222,,,
,,,,,99.230.112.243,,,
,,,,,184.147.24.113,,,
,,,,,216.58.91.140,,,
,,,,,63.135.12.232,,,
,,,,,206.53.53.208,,,
45.479400634765625,NA,Dollard-des-ormeaux,0,65.95.45.163,65.95.45.163,-73.84459686279297,QC,CA
43.25740051269531,NA,Hamilton,0,67.70.66.241,67.70.66.241,-79.86759948730469,ON,CA
,,,,,47.54.25.109,,,
43.644100189208984,NA,Toronto,0,63.142.161.16,63.142.161.16,-79.38009643554688,ON,CA
,,,,,205.236.31.236,,,
,,,,,205.211.50.162,,,
,,,,,205.236.31.236,,,
,,,,,105.228.147.211,,,
42.83330154418945,EU,,0,5.168.63.230,5.168.63.230,12.83329963684082,,IT
,,,,,184.175.4.55,,,
42.83330154418945,EU,,0,5.168.63.230,5.168.63.230,12.83329963684082,,IT
43.585201263427734,NA,Elmira,0,184.151.63.240,184.151.63.240,-80.56620025634766,ON,CA
,,,,,69.71.80.99,,,
46.6708984375,NA,Saint-nicolas,0,65.94.174.89,65.94.174.89,-71.35479736328125,QC,CA
,,,,,184.161.97.11,,,
,,,,,24.230.209.236,,,
45.69110107421875,NA,Varennes,0,69.156.43.239,69.156.43.239,-73.43119812011719,QC,CA
,,,,,184.161.97.11,,,
,,,,,216.218.29.151,,,
,,,,,184.162.101.184,,,
,,,,,174.113.12.156,,,
43.644100189208984,NA,Toronto,0,63.142.161.6,63.142.161.6,-79.38009643554688,ON,CA
,,,,,5.165.28.218,,,
